model,max_tokens,max_input_tokens,max_output_tokens,input_cost_per_token,output_cost_per_token,litellm_provider,mode,supports_function_calling,supports_parallel_function_calling,supports_vision,source,output_vector_size,input_cost_per_pixel,output_cost_per_pixel,input_cost_per_second,output_cost_per_second,input_cost_per_character,supports_assistant_prefill,input_cost_per_token_cache_hit,supports_tool_choice,tool_use_system_prompt_tokens,output_cost_per_character,input_cost_per_image,input_cost_per_video_per_second,input_cost_per_audio_per_second,input_cost_per_token_above_128k_tokens,input_cost_per_character_above_128k_tokens,output_cost_per_token_above_128k_tokens,output_cost_per_character_above_128k_tokens,output_cost_per_image,output_cost_per_video_per_second,output_cost_per_audio_per_second,supports_system_messages,supports_response_schema,max_images_per_prompt,max_videos_per_prompt,max_video_length,max_audio_length_hours,max_audio_per_prompt,max_pdf_size_mb,cost_per_image,input_cost_per_token_batch_requests,input_cost_per_request
sample_spec,set to max_output_tokens if provider specifies it. IF not set to max_tokens provider specifies,"max input tokens, if the provider specifies it. if not default to max_tokens","max output tokens, if the provider specifies it. if not default to max_tokens",0.0000000000,0.0000000000,one of https://docs.litellm.ai/docs/providers,"one of chat, embedding, completion, image_generation, audio_transcription",True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4,4096,8192,4096,0.0000300000,0.0000600000,openai,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o,4096,128000,4096,0.0000050000,0.0000150000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-mini,16384,128000,16384,0.0000001500,0.0000006000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-mini-2024-07-18,16384,128000,16384,0.0000001500,0.0000006000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chatgpt-4o-latest,4096,128000,4096,0.0000050000,0.0000150000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-05-13,4096,128000,4096,0.0000050000,0.0000150000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4o-2024-08-06,16384,128000,16384,0.0000025000,0.0000100000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-turbo-preview,4096,128000,4096,0.0000100000,0.0000300000,openai,chat,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-0314,4096,8192,4096,0.0000300000,0.0000600000,openai,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-0613,4096,8192,4096,0.0000300000,0.0000600000,openai,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-32k,4096,32768,4096,0.0000600000,0.0001200000,openai,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-32k-0314,4096,32768,4096,0.0000600000,0.0001200000,openai,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-32k-0613,4096,32768,4096,0.0000600000,0.0001200000,openai,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-turbo,4096,128000,4096,0.0000100000,0.0000300000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-turbo-2024-04-09,4096,128000,4096,0.0000100000,0.0000300000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-1106-preview,4096,128000,4096,0.0000100000,0.0000300000,openai,chat,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-0125-preview,4096,128000,4096,0.0000100000,0.0000300000,openai,chat,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-vision-preview,4096,128000,4096,0.0000100000,0.0000300000,openai,chat,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-4-1106-vision-preview,4096,128000,4096,0.0000100000,0.0000300000,openai,chat,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo,4097,16385,4096,0.0000015000,0.0000020000,openai,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo-0301,4097,4097,4096,0.0000015000,0.0000020000,openai,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo-0613,4097,4097,4096,0.0000015000,0.0000020000,openai,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo-1106,16385,16385,4096,0.0000010000,0.0000020000,openai,chat,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo-0125,16385,16385,4096,0.0000005000,0.0000015000,openai,chat,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo-16k,16385,16385,4096,0.0000030000,0.0000040000,openai,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo-16k-0613,16385,16385,4096,0.0000030000,0.0000040000,openai,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ft:gpt-3.5-turbo,4097,4097,4096,0.0000030000,0.0000060000,openai,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ft:gpt-4-0613,4096,8192,4096,0.0000300000,0.0000600000,openai,chat,True,,,"OpenAI needs to add pricing for this ft model, will be updated when added by OpenAI. Defaulting to base model pricing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ft:gpt-4o-mini-2024-07-18,16384,128000,16384,0.0000003000,0.0000012000,openai,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ft:davinci-002,16384,16384,4096,0.0000020000,0.0000020000,text-completion-openai,completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ft:babbage-002,16384,16384,4096,0.0000004000,0.0000004000,text-completion-openai,completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-embedding-3-large,8191,8191,,0.0000001300,0.0000000000,openai,embedding,,,,,3072.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-embedding-3-small,8191,8191,,0.0000000200,0.0000000000,openai,embedding,,,,,1536.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-embedding-ada-002,8191,8191,,0.0000001000,0.0000000000,openai,embedding,,,,,1536.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-embedding-ada-002-v2,8191,8191,,0.0000001000,0.0000000000,openai,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-moderation-stable,32768,32768,0,0.0000000000,0.0000000000,openai,moderations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-moderation-007,32768,32768,0,0.0000000000,0.0000000000,openai,moderations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-moderation-latest,32768,32768,0,0.0000000000,0.0000000000,openai,moderations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256-x-256/dall-e-2,,,,,,openai,image_generation,,,,,,0.0000002441,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512-x-512/dall-e-2,,,,,,openai,image_generation,,,,,,0.0000000686,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024-x-1024/dall-e-2,,,,,,openai,image_generation,,,,,,0.0000000190,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hd/1024-x-1792/dall-e-3,,,,,,openai,image_generation,,,,,,0.0000000654,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hd/1792-x-1024/dall-e-3,,,,,,openai,image_generation,,,,,,0.0000000654,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hd/1024-x-1024/dall-e-3,,,,,,openai,image_generation,,,,,,0.0000000763,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
standard/1024-x-1792/dall-e-3,,,,,,openai,image_generation,,,,,,0.0000000436,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
standard/1792-x-1024/dall-e-3,,,,,,openai,image_generation,,,,,,0.0000000436,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
standard/1024-x-1024/dall-e-3,,,,,,openai,image_generation,,,,,,0.0000000381,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whisper-1,,,,,,openai,audio_transcription,,,,,,,,0.0000000000,0.0001000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
tts-1,,,,,,openai,audio_speech,,,,,,,,,,0.0000150000,,,,,,,,,,,,,,,,,,,,,,,,,,
tts-1-hd,,,,,,openai,audio_speech,,,,,,,,,,0.0000300000,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/tts-1,,,,,,azure,audio_speech,,,,,,,,,,0.0000150000,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/tts-1-hd,,,,,,azure,audio_speech,,,,,,,,,,0.0000300000,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/whisper-1,,,,,,azure,audio_transcription,,,,,,,,0.0000000000,0.0001000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-4o,4096,128000,4096,0.0000050000,0.0000150000,azure,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/global-standard/gpt-4o-mini,16384,128000,16384,0.0000001500,0.0000006000,azure,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-4o-mini,16384,128000,16384,0.0000001650,0.0000006600,azure,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-4-turbo-2024-04-09,4096,128000,4096,0.0000100000,0.0000300000,azure,chat,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-4-0125-preview,4096,128000,4096,0.0000100000,0.0000300000,azure,chat,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-4-1106-preview,4096,128000,4096,0.0000100000,0.0000300000,azure,chat,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-4-0613,4096,8192,4096,0.0000300000,0.0000600000,azure,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-4-32k-0613,4096,32768,4096,0.0000600000,0.0001200000,azure,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-4-32k,4096,32768,4096,0.0000600000,0.0001200000,azure,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-4,4096,8192,4096,0.0000300000,0.0000600000,azure,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-4-turbo,4096,128000,4096,0.0000100000,0.0000300000,azure,chat,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-4-turbo-vision-preview,4096,128000,4096,0.0000100000,0.0000300000,azure,chat,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-35-turbo-16k-0613,4096,16385,4096,0.0000030000,0.0000040000,azure,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-35-turbo-1106,4096,16384,4096,0.0000010000,0.0000020000,azure,chat,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-35-turbo-0125,4096,16384,4096,0.0000005000,0.0000015000,azure,chat,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-35-turbo-16k,4096,16385,4096,0.0000030000,0.0000040000,azure,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-35-turbo,4096,4097,4096,0.0000005000,0.0000015000,azure,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-3.5-turbo-instruct-0914,4097,4097,,0.0000015000,0.0000020000,text-completion-openai,completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/gpt-35-turbo-instruct,4097,4097,,0.0000015000,0.0000020000,text-completion-openai,completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/mistral-large-latest,32000,32000,,0.0000080000,0.0000240000,azure,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/mistral-large-2402,32000,32000,,0.0000080000,0.0000240000,azure,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/command-r-plus,4096,128000,4096,0.0000030000,0.0000150000,azure,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/ada,8191,8191,,0.0000001000,0.0000000000,azure,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/text-embedding-ada-002,8191,8191,,0.0000001000,0.0000000000,azure,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/text-embedding-3-large,8191,8191,,0.0000001300,0.0000000000,azure,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/text-embedding-3-small,8191,8191,,0.0000000200,0.0000000000,azure,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/standard/1024-x-1024/dall-e-3,,,,,0.0000000000,azure,image_generation,,,,,,0.0000000381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/hd/1024-x-1024/dall-e-3,,,,,0.0000000000,azure,image_generation,,,,,,0.0000000763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/standard/1024-x-1792/dall-e-3,,,,,0.0000000000,azure,image_generation,,,,,,0.0000000436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/standard/1792-x-1024/dall-e-3,,,,,0.0000000000,azure,image_generation,,,,,,0.0000000436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/hd/1024-x-1792/dall-e-3,,,,,0.0000000000,azure,image_generation,,,,,,0.0000000654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/hd/1792-x-1024/dall-e-3,,,,,0.0000000000,azure,image_generation,,,,,,0.0000000654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure/standard/1024-x-1024/dall-e-2,,,,,0.0000000000,azure,image_generation,,,,,,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure_ai/jamba-instruct,4096,70000,4096,0.0000005000,0.0000007000,azure_ai,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure_ai/mistral-large,8191,32000,8191,0.0000040000,0.0000120000,azure_ai,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure_ai/mistral-small,8191,32000,8191,0.0000010000,0.0000030000,azure_ai,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure_ai/Meta-Llama-3-70B-Instruct,8192,8192,8192,0.0000011000,0.0000003700,azure_ai,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure_ai/Meta-Llama-31-8B-Instruct,128000,128000,128000,0.0000003000,0.0000006100,azure_ai,chat,,,,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/metagenai.meta-llama-3-1-8b-instruct-offer?tab=PlansAndPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure_ai/Meta-Llama-31-70B-Instruct,128000,128000,128000,0.0000026800,0.0000035400,azure_ai,chat,,,,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/metagenai.meta-llama-3-1-70b-instruct-offer?tab=PlansAndPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azure_ai/Meta-Llama-31-405B-Instruct,128000,128000,128000,0.0000053300,0.0000160000,azure_ai,chat,,,,https://azuremarketplace.microsoft.com/en-us/marketplace/apps/metagenai.meta-llama-3-1-405b-instruct-offer?tab=PlansAndPrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
babbage-002,16384,16384,4096,0.0000004000,0.0000004000,text-completion-openai,completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davinci-002,16384,16384,4096,0.0000020000,0.0000020000,text-completion-openai,completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo-instruct,4096,8192,4096,0.0000015000,0.0000020000,text-completion-openai,completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-3.5-turbo-instruct-0914,4097,8192,4097,0.0000015000,0.0000020000,text-completion-openai,completion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-instant-1,8191,100000,8191,0.0000016300,0.0000055100,anthropic,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/mistral-tiny,8191,32000,8191,0.0000002500,0.0000002500,mistral,chat,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/mistral-small,8191,32000,8191,0.0000010000,0.0000030000,mistral,chat,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/mistral-small-latest,8191,32000,8191,0.0000010000,0.0000030000,mistral,chat,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/mistral-medium,8191,32000,8191,0.0000027000,0.0000081000,mistral,chat,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/mistral-medium-latest,8191,32000,8191,0.0000027000,0.0000081000,mistral,chat,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/mistral-medium-2312,8191,32000,8191,0.0000027000,0.0000081000,mistral,chat,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/mistral-large-latest,128000,128000,128000,0.0000030000,0.0000090000,mistral,chat,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/mistral-large-2402,8191,32000,8191,0.0000040000,0.0000120000,mistral,chat,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/mistral-large-2407,128000,128000,128000,0.0000030000,0.0000090000,mistral,chat,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/open-mistral-7b,8191,32000,8191,0.0000002500,0.0000002500,mistral,chat,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/open-mixtral-8x7b,8191,32000,8191,0.0000007000,0.0000007000,mistral,chat,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/open-mixtral-8x22b,8191,64000,8191,0.0000020000,0.0000060000,mistral,chat,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/codestral-latest,8191,32000,8191,0.0000010000,0.0000030000,mistral,chat,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/codestral-2405,8191,32000,8191,0.0000010000,0.0000030000,mistral,chat,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/open-mistral-nemo,128000,128000,128000,0.0000003000,0.0000003000,mistral,chat,,,,https://mistral.ai/technology/,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/open-mistral-nemo-2407,128000,128000,128000,0.0000003000,0.0000003000,mistral,chat,,,,https://mistral.ai/technology/,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/open-codestral-mamba,256000,256000,256000,0.0000002500,0.0000002500,mistral,chat,,,,https://mistral.ai/technology/,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/codestral-mamba-latest,256000,256000,256000,0.0000002500,0.0000002500,mistral,chat,,,,https://mistral.ai/technology/,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
mistral/mistral-embed,8192,8192,,0.0000001000,,mistral,embedding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek-chat,4096,32000,4096,0.0000001400,0.0000002800,deepseek,chat,True,,,,,,,,,,True,0.0000000140,True,,,,,,,,,,,,,,,,,,,,,,,
codestral/codestral-latest,8191,32000,8191,0.0000000000,0.0000000000,codestral,chat,,,,https://docs.mistral.ai/capabilities/code_generation/,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
codestral/codestral-2405,8191,32000,8191,0.0000000000,0.0000000000,codestral,chat,,,,https://docs.mistral.ai/capabilities/code_generation/,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
text-completion-codestral/codestral-latest,8191,32000,8191,0.0000000000,0.0000000000,text-completion-codestral,completion,,,,https://docs.mistral.ai/capabilities/code_generation/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text-completion-codestral/codestral-2405,8191,32000,8191,0.0000000000,0.0000000000,text-completion-codestral,completion,,,,https://docs.mistral.ai/capabilities/code_generation/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deepseek-coder,4096,128000,4096,0.0000001400,0.0000002800,deepseek,chat,True,,,,,,,,,,True,0.0000000140,True,,,,,,,,,,,,,,,,,,,,,,,
groq/llama2-70b-4096,4096,4096,4096,0.0000007000,0.0000008000,groq,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groq/llama3-8b-8192,8192,8192,8192,0.0000000500,0.0000000800,groq,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groq/llama3-70b-8192,8192,8192,8192,0.0000005900,0.0000007900,groq,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groq/llama-3.1-8b-instant,8192,8192,8192,0.0000005900,0.0000007900,groq,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groq/llama-3.1-70b-versatile,8192,8192,8192,0.0000005900,0.0000007900,groq,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groq/llama-3.1-405b-reasoning,8192,8192,8192,0.0000005900,0.0000007900,groq,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groq/mixtral-8x7b-32768,32768,32768,32768,0.0000002400,0.0000002400,groq,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groq/gemma-7b-it,8192,8192,8192,0.0000000700,0.0000000700,groq,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groq/llama3-groq-70b-8192-tool-use-preview,8192,8192,8192,0.0000008900,0.0000008900,groq,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groq/llama3-groq-8b-8192-tool-use-preview,8192,8192,8192,0.0000001900,0.0000001900,groq,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendliai/mixtral-8x7b-instruct-v0-1,32768,32768,32768,0.0000004000,0.0000004000,friendliai,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendliai/meta-llama-3-8b-instruct,8192,8192,8192,0.0000001000,0.0000001000,friendliai,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendliai/meta-llama-3-70b-instruct,8192,8192,8192,0.0000008000,0.0000008000,friendliai,chat,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-instant-1.2,8191,100000,8191,0.0000001630,0.0000005510,anthropic,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-2,8191,100000,8191,0.0000080000,0.0000240000,anthropic,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-2.1,8191,200000,8191,0.0000080000,0.0000240000,anthropic,chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claude-3-haiku-20240307,4096,200000,4096,0.0000002500,0.0000012500,anthropic,chat,True,,True,,,,,,,,True,,,264.0000000000,,,,,,,,,,,,,,,,,,,,,,
claude-3-opus-20240229,4096,200000,4096,0.0000150000,0.0000750000,anthropic,chat,True,,True,,,,,,,,True,,,395.0000000000,,,,,,,,,,,,,,,,,,,,,,
claude-3-sonnet-20240229,4096,200000,4096,0.0000030000,0.0000150000,anthropic,chat,True,,True,,,,,,,,True,,,159.0000000000,,,,,,,,,,,,,,,,,,,,,,
